date;category;type;description;_category;_subcategory;amount;transaction_id;mcc_code
2025-11-27;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-20.500000;019ac583-8287-7123-97dd-ab7d9ba3d39b;763
2025-11-28;CASH;CARD_TRANSACTION;LE VALENCY;ACHATS;TABAC;-11.200000;019acaa6-513a-7282-a430-feeadf4c2ebb;5813
2025-11-28;CASH;CARD_TRANSACTION;O TERA;ALIMENTATION;COURSES;-53.500000;019ac9d4-32d4-7abf-aad9-e772f742afd9;5411
2025-11-29;CASH;CARD_TRANSACTION;Amazon.fr*ZR6V32DZ4;ACHATS;DIVERS;-5.430000;019acfbb-71bd-7304-8aea-799f9de719a7;5999
2025-11-29;CASH;CARD_TRANSACTION;O TERA;ALIMENTATION;COURSES;-24.760000;019acf2b-676d-70e3-8df6-aa4c46c9517f;5411
2025-11-30;CASH;CARD_TRANSACTION;MYTHOS;ALIMENTATION;RESTAURANTS;-51.000000;019ad3ce-4027-7b88-a0a0-dfd85ee7742e;5812
2025-12-01;CASH;CARD_TRANSACTION;EURL A MOREAU;DIVERS;AJUSTEMENTS_ERREURS;-5.500000;019ad9e1-f0a9-725d-bdb7-2ad4874d55c8;5462
2025-12-01;CASH;BENEFITS_SAVEBACK;Fixed income bonus 5c6f6191-3cc1-42de-8580-2fbcce60cd38 for buy order: 5d5edd80-6786-4fe6-8679-9ac95cddfea1;ALIMENTATION;BOULANGERIE;15.000000;019ad808-cdfb-776f-8400-594e1f2cc7e5;
2025-12-01;CASH;INTEREST_PAYMENT;Interest payment for payout collection 019ad7a8-aa72-7c9b-98b8-b788f23d6cdb;BANQUE;INTERETS;1.790000;019ad7b6-fbab-7d7f-a08b-d00b9bc759c1;
2025-12-02;CASH;CARD_TRANSACTION;Amazon.fr*ZX8OV7EJ4;ACHATS;DIVERS;-139.990000;019ade56-e3d7-7209-95d9-57e0f4e177a7;5999
